| ==== Lista Rankingowa ==== |
| PID | Numer | Matura | Cz. teoretyczna | Cz. praktyczna | Ostateczny wynik |
| 6863 | 60 | TAK | 41.107677 | 59.580813 | 50.344245 |
| 6861 | 58 | TAK | 55.763654 | 44.694947 | 50.229300 |
| 6832 | 29 | TAK | 43.410914 | 56.537216 | 49.974065 |
| 6876 | 73 | TAK | 56.029556 | 43.191732 | 49.610644 |
| 6874 | 71 | TAK | 51.779246 | 45.985293 | 48.882270 |
| 6862 | 59 | TAK | 35.649077 | 61.914333 | 48.781705 |
| 6867 | 64 | TAK | 40.755373 | 56.274026 | 48.514700 |
| 6816 | 13 | TAK | 48.794555 | 47.891424 | 48.342990 |
| 6856 | 53 | TAK | 61.522147 | 34.959625 | 48.240886 |
| 6868 | 65 | TAK | 49.029943 | 46.791569 | 47.910756 |
| 6878 | 75 | TAK | 37.190292 | 58.368624 | 47.779458 |
| 6838 | 35 | TAK | 67.043379 | 26.893635 | 46.968507 |
| 6891 | 87 | TAK | 61.703872 | 32.022143 | 46.863007 |
| 6886 | 83 | TAK | 41.118553 | 51.811900 | 46.465226 |
| 6846 | 43 | TAK | 49.446577 | 42.086606 | 45.766591 |
| 6900 | 96 | TAK | 44.189126 | 46.693645 | 45.441386 |
| 6853 | 50 | TAK | 40.465308 | 49.253344 | 44.859326 |
| 6808 | 5 | TAK | 61.712764 | 26.916384 | 44.314574 |
| 6821 | 18 | TAK | 38.614618 | 49.859687 | 44.237152 |
| 6814 | 11 | TAK | 47.971959 | 40.363892 | 44.167926 |
| 6857 | 54 | TAK | 49.174696 | 39.080721 | 44.127709 |
| 6805 | 2 | TAK | 50.265895 | 37.620784 | 43.943339 |
| 6804 | 1 | TAK | 38.875390 | 48.165656 | 43.520523 |
| 6893 | 89 | TAK | 52.142954 | 33.437005 | 42.789980 |
| 6901 | 97 | TAK | 51.835229 | 31.941273 | 41.888251 |
| 6899 | 95 | TAK | 53.197707 | 30.399502 | 41.798604 |
| 6829 | 26 | TAK | 37.212848 | 45.297273 | 41.255060 |
| 6830 | 27 | TAK | 33.737900 | 48.367950 | 41.052925 |
| 6854 | 51 | TAK | 37.695006 | 44.133141 | 40.914073 |
| 6835 | 32 | TAK | 56.006401 | 22.924792 | 39.465597 |
| 6812 | 9 | TAK | 31.284575 | 40.711368 | 35.997972 |
| 6842 | 39 | TAK | 56.409202 | 14.217034 | 35.313118 |
| 6882 | 79 | TAK | 40.634699 | 28.512091 | 34.573395 |
| 6844 | 41 | TAK | 50.539159 | 17.155081 | 33.847120 |
| 6870 | 67 | TAK | 34.702021 | 32.791728 | 33.746874 |
| 6896 | 92 | TAK | 36.008385 | 26.252548 | 31.130466 |
| 6841 | 38 | TAK | 34.847132 | 22.608414 | 28.727773 |
| 6866 | 63 | TAK | 36.320566 | 20.098344 | 28.209455 |
| 6873 | 70 | TAK | 34.488952 | 11.585282 | 23.037117 |
| 6872 | 69 | TAK | 23.476142 | 0.000000 | 0.000000 |
| 6855 | 52 | TAK | 19.435716 | 0.000000 | 0.000000 |
| 6850 | 47 | TAK | 25.108463 | 0.000000 | 0.000000 |
| 6848 | 45 | NIE | -1.000000 | 0.000000 | 0.000000 |
| 6815 | 12 | TAK | 25.089444 | 0.000000 | 0.000000 |
| 6810 | 7 | TAK | 29.995700 | 0.000000 | 0.000000 |
| 6809 | 6 | TAK | 27.538839 | 0.000000 | 0.000000 |
| 6803 | 0 | TAK | 28.412863 | 0.000000 | 0.000000 |
